randNumCol,Total Score,Max Points,Status,Submission Time,Lateness (H:M:S),View Count,Submission Count,1: Q1 (10.0 pts),2: Q2 (10.0 pts),3: Q3 (10.0 pts),4: Q4 (10.0 pts),5: Q5 (10.0 pts),6: Q6 (5.0 pts)
801925577,48.0,55.0,Graded,2022-09-06 10:43:22 -0500,106:44:22,7.0,1.0,10.0,10.0,7.0,9.0,9.0,3.0
262507520,40.0,55.0,Graded,2022-09-01 23:58:56 -0500,00:00:00,3.0,1.0,10.0,5.0,9.0,8.0,8.0,0.0
853470508,43.0,55.0,Graded,2022-09-01 22:34:25 -0500,00:00:00,10.0,3.0,10.0,10.0,7.0,6.0,10.0,0.0
468287725,45.0,55.0,Graded,2022-09-01 23:46:46 -0500,00:00:00,4.0,2.0,10.0,10.0,8.0,8.0,9.0,0.0
966245481,52.5,55.0,Graded,2022-09-01 21:21:49 -0500,00:00:00,1.0,1.0,10.0,10.0,9.5,9.0,9.0,5.0
688844688,23.5,55.0,Graded,2022-09-01 21:15:54 -0500,00:00:00,2.0,1.0,10.0,7.5,6.0,0.0,0.0,0.0
602558521,42.0,55.0,Graded,2022-09-01 19:42:26 -0500,00:00:00,1.0,1.0,8.0,10.0,7.0,8.0,9.0,0.0
728776101,54.0,55.0,Graded,2022-09-01 14:17:39 -0500,00:00:00,2.0,1.0,10.0,10.0,10.0,10.0,9.0,5.0
513252691,46.0,55.0,Graded,2022-08-31 10:29:35 -0500,00:00:00,4.0,2.0,10.0,10.0,7.0,10.0,9.0,0.0
798694774,47.0,55.0,Graded,2022-09-01 21:44:37 -0500,00:00:00,4.0,1.0,10.0,10.0,7.0,10.0,10.0,0.0
880377892,52.0,55.0,Graded,2022-09-01 17:03:00 -0500,00:00:00,9.0,2.0,8.0,10.0,10.0,10.0,9.0,5.0
140393680,48.0,55.0,Graded,2022-09-05 17:25:18 -0500,89:26:18,4.0,1.0,10.0,10.0,10.0,10.0,8.0,0.0
406982131,47.0,55.0,Graded,2022-09-01 20:10:28 -0500,00:00:00,1.0,2.0,6.0,10.0,9.0,8.0,9.0,5.0
