,randNumCol,Total Score,HW
0,801925577,42.5,4
1,262507520,52.0,4
2,853470508,50.0,4
3,468287725,44.5,4
4,966245481,52.0,4
5,688844688,52.0,4
6,602558521,52.0,4
7,728776101,50.0,4
8,513252691,52.0,4
9,798694774,50.0,4
10,880377892,48.0,4
11,140393680,48.5,4
12,406982131,46.0,4
14,555782827,52.0,4
15,556717963,47.5,4
16,213555276,48.0,4
17,357999413,50.0,4
18,429099317,41.0,4
19,429099317,32.0,4
25,759999244,41.0,4
26,759999244,32.0,4
32,963037118,41.0,4
33,963037118,32.0,4
39,649911435,41.0,4
40,649911435,32.0,4
46,981776346,41.0,4
47,981776346,32.0,4
53,490690273,41.0,4
54,490690273,32.0,4
60,208303123,41.0,4
61,208303123,32.0,4
67,215542326,40.5,4
68,683714891,44.0,4
70,450938085,52.0,4
71,791013869,41.5,4
72,431330025,50.5,4
73,538294395,48.5,4
74,144202762,38.5,4
75,513504661,50.0,4
76,519550803,50.0,4
78,482212493,52.0,4
79,647038181,52.0,4
80,846403629,52.0,4
81,586062294,49.0,4
82,884195403,51.0,4
83,996805395,41.0,4
85,981630158,50.5,4
86,425298232,52.0,4
87,868686594,48.5,4
88,891283532,44.0,4
89,757443096,36.0,4
90,915625252,50.0,4
91,887196036,18.5,4
92,853643793,50.0,4
93,367453952,47.5,4
94,581792455,47.0,4
95,102509560,50.5,4
96,604704694,41.5,4
97,860075746,50.0,4
98,351876097,25.5,4
99,196938750,52.0,4
101,304646933,36.0,4
102,718604469,52.0,4
103,722247081,46.0,4
104,817205605,46.0,4
105,611518158,49.0,4
106,177697048,50.5,4
108,616967158,49.0,4
109,315653647,48.5,4
110,358296522,20.0,4
111,196389138,52.0,4
112,677646110,52.0,4
113,739727903,39.0,4
114,239830252,46.0,4
115,236845553,40.5,4
116,819905544,41.0,4
117,718982500,52.0,4
118,393009742,46.0,4
119,695607399,16.0,4
120,426006334,39.5,4
121,815373712,47.0,4
122,757899821,42.5,4
123,321265210,52.0,4
124,997288135,52.0,4
125,362394432,43.5,4
126,883116166,40.5,4
127,293581171,52.0,4
128,381118522,49.0,4
129,317104199,39.0,4
130,466291288,52.0,4
131,844164199,50.0,4
132,578891403,40.5,4
133,558375823,46.5,4
134,287568073,52.0,4
135,709735325,34.0,4
136,287712537,52.0,4
137,496648192,52.0,4
138,139056282,51.0,4
139,411819068,45.0,4
140,968248176,49.0,4
141,744337479,52.0,4
142,105324844,46.5,4
144,484405746,50.0,4
145,943661848,52.0,4
147,359759230,50.0,4
148,442821320,49.5,4
149,963746914,52.0,4
150,410273349,48.0,4
151,928986287,52.0,4
152,411913399,48.5,4
153,717283131,50.0,4
154,889941393,52.0,4
155,788596770,44.0,4
156,941280573,50.5,4
157,250884994,43.5,4
158,719711907,42.0,4
159,118397071,43.0,4
160,888606400,52.0,4
161,193781663,32.5,4
162,236595923,52.0,4
163,464591232,52.0,4
164,937801142,50.0,4
165,718131231,50.0,4
166,207156324,52.0,4
168,188148399,41.5,4
169,258815820,49.0,4
170,177969362,48.0,4
171,200495348,52.0,4
172,228387210,47.0,4
173,177538742,50.0,4
174,251182625,49.0,4
175,897003650,19.5,4
177,980531633,43.5,4
178,857674188,47.5,4
179,636016277,41.5,4
181,754161398,41.0,4
182,488411601,49.0,4
183,722597200,43.0,4
185,147623686,46.5,4
186,549089373,50.0,4
187,706103987,52.0,4
188,974175861,47.0,4
189,341083491,50.0,4
190,564894421,23.0,4
191,183274315,50.0,4
192,496833752,50.5,4
193,881416106,35.5,4
195,781669299,35.5,4
197,119077366,52.0,4
198,834807552,50.0,4
199,307090791,50.0,4
200,540669649,50.5,4
201,994769592,43.0,4
202,936606317,44.5,4
203,535181971,50.0,4
