randNumCol,Total Score,Max Points,Status,Submission Time,Lateness (H:M:S),View Count,Submission Count,1: Q1 (9.0 pts),2: Q2 (2.0 pts),3: Q3 (4.0 pts)
801925577,4.0,15.0,Graded,2022-12-10 22:58:06 -0600,190:59:06,3.0,1.0,0.0,0.0,4.0
853470508,15.0,15.0,Graded,2022-12-02 21:31:27 -0600,00:00:00,0.0,1.0,9.0,2.0,4.0
468287725,4.0,15.0,Graded,2022-12-02 23:56:30 -0600,00:00:00,0.0,1.0,2.0,0.0,2.0
880377892,7.5,15.0,Graded,2022-12-02 21:13:20 -0600,00:00:00,1.0,1.0,3.5,2.0,2.0
631918976,0.0,15.0,Graded,2022-12-02 23:50:55 -0600,00:00:00,2.0,1.0,0.0,0.0,0.0
683714891,4.5,15.0,Graded,2022-12-02 21:55:31 -0600,00:00:00,3.0,1.0,0.5,0.0,4.0
450938085,13.0,15.0,Graded,2022-12-02 20:36:36 -0600,00:00:00,2.0,4.0,7.5,1.5,4.0
431330025,2.0,15.0,Graded,2022-12-02 13:04:27 -0600,00:00:00,7.0,1.0,2.0,0.0,0.0
519550803,0.0,15.0,Graded,2022-12-01 22:53:17 -0600,00:00:00,1.0,1.0,0.0,0.0,0.0
647038181,14.0,15.0,Graded,2022-12-02 19:50:38 -0600,00:00:00,1.0,2.0,9.0,2.0,3.0
846403629,0.5,15.0,Graded,2022-12-02 23:42:37 -0600,00:00:00,4.0,1.0,0.5,0.0,0.0
884195403,6.5,15.0,Graded,2022-12-02 23:49:47 -0600,00:00:00,4.0,1.0,2.5,0.0,4.0
981630158,15.0,15.0,Graded,2022-12-01 10:18:04 -0600,00:00:00,2.0,1.0,9.0,2.0,4.0
425298232,1.5,15.0,Graded,2022-12-02 21:44:44 -0600,00:00:00,2.0,1.0,1.5,0.0,0.0
367453952,2.5,15.0,Graded,2022-12-02 20:34:10 -0600,00:00:00,0.0,1.0,2.5,0.0,0.0
102509560,2.0,15.0,Graded,2022-11-30 20:48:55 -0600,00:00:00,1.0,1.0,0.0,0.0,2.0
616967158,12.5,15.0,Graded,2022-12-01 11:18:33 -0600,00:00:00,2.0,2.0,7.0,1.5,4.0
196389138,10.0,15.0,Graded,2022-12-08 11:37:38 -0600,131:38:38,2.0,1.0,4.0,2.0,4.0
718982500,15.0,15.0,Graded,2022-12-02 16:00:30 -0600,00:00:00,2.0,1.0,9.0,2.0,4.0
426006334,4.0,15.0,Graded,2022-12-02 23:56:40 -0600,00:00:00,2.0,1.0,2.0,0.0,2.0
883116166,2.0,15.0,Graded,2022-12-01 18:22:31 -0600,00:00:00,7.0,1.0,2.0,0.0,0.0
293581171,12.5,15.0,Graded,2022-12-01 22:02:17 -0600,00:00:00,1.0,3.0,6.5,2.0,4.0
844164199,6.0,15.0,Graded,2022-12-02 23:48:32 -0600,00:00:00,4.0,1.0,2.0,0.0,4.0
287568073,4.0,15.0,Graded,2022-12-01 22:19:59 -0600,00:00:00,0.0,2.0,0.0,0.0,4.0
287712537,2.0,15.0,Graded,2022-12-01 17:20:22 -0600,00:00:00,0.0,1.0,2.0,0.0,0.0
139056282,7.0,15.0,Graded,2022-12-02 23:55:51 -0600,00:00:00,1.0,1.0,3.0,0.0,4.0
442821320,2.0,15.0,Graded,2022-12-02 22:37:37 -0600,00:00:00,0.0,1.0,0.0,0.0,2.0
941280573,14.0,15.0,Graded,2022-12-01 20:47:18 -0600,00:00:00,0.0,3.0,9.0,2.0,3.0
250884994,4.0,15.0,Graded,2022-12-02 22:15:38 -0600,00:00:00,3.0,3.0,0.0,0.0,4.0
118397071,4.0,15.0,Graded,2022-12-02 22:29:00 -0600,00:00:00,0.0,1.0,0.0,0.0,4.0
