,randNumCol,mid1,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,HW10
0,801925577,134.0,48.0,48.0,41.0,42.5,48.0,44.0,42.0,50.0,51.0,55.0
1,262507520,114.0,40.0,44.0,47.0,52.0,47.0,50.0,48.0,,,
2,853470508,143.0,43.0,49.0,45.0,50.0,50.0,50.0,49.0,49.0,48.0,50.0
3,468287725,136.0,45.0,51.0,38.5,44.5,51.0,29.0,46.0,51.0,48.0,47.0
4,966245481,134.0,52.5,46.5,53.0,52.0,52.0,52.0,51.0,53.0,51.0,
5,688844688,142.0,23.5,49.5,48.0,52.0,49.0,48.0,47.0,49.0,,
6,602558521,133.5,42.0,51.0,44.5,52.0,45.0,50.0,48.0,46.0,51.0,52.0
7,728776101,144.0,54.0,51.0,53.0,50.0,42.0,48.0,,50.0,46.0,50.0
8,513252691,137.5,46.0,49.0,51.5,52.0,52.0,50.0,50.0,46.0,50.0,50.0
9,798694774,138.5,47.0,51.0,47.5,50.0,47.0,49.0,50.0,50.0,,
10,880377892,125.5,52.0,48.0,48.0,48.0,50.0,52.0,50.0,46.0,46.0,52.0
11,140393680,79.0,48.0,49.0,46.0,48.5,50.0,46.0,,,47.0,
12,406982131,147.0,47.0,51.0,47.5,46.0,39.0,39.0,41.0,47.0,50.0,
13,631918976,121.5,43.0,52.0,49.5,,50.0,50.0,50.0,44.0,50.0,
14,555782827,129.0,45.5,51.0,48.5,52.0,47.0,50.0,46.0,47.0,45.0,40.0
15,556717963,146.0,46.0,49.0,53.0,47.5,51.0,50.0,52.0,,,
16,213555276,81.5,29.0,44.0,46.0,48.0,43.0,35.0,35.0,37.0,42.0,
17,357999413,144.5,38.5,49.0,46.0,50.0,50.0,49.0,45.0,49.0,47.0,50.0
18,429099317,108.0,21.9,39.25,42.25,36.5,39.0,50.0,,,,
19,429099317,68.0,21.9,39.25,42.25,36.5,39.0,50.0,,,,
20,429099317,63.5,21.9,39.25,42.25,36.5,39.0,50.0,,,,
21,759999244,108.0,21.9,39.25,42.25,36.5,39.0,50.0,,,,
22,759999244,68.0,21.9,39.25,42.25,36.5,39.0,50.0,,,,
23,759999244,63.5,21.9,39.25,42.25,36.5,39.0,50.0,,,,
24,963037118,108.0,21.9,39.25,42.25,36.5,39.0,50.0,,,,
25,963037118,68.0,21.9,39.25,42.25,36.5,39.0,50.0,,,,
