randNumCol,Total Score,Max Points,Status,Submission Time,Lateness (H:M:S),View Count,Submission Count,1: Q1 (20.0 pts),2.1: 1 (15.0 pts),2.2: 2a (20.0 pts),3.1: 1 (10.0 pts),3.2: 2 (10.0 pts),3.3: 3 (10.0 pts),4: Q4 (35.0 pts),5: Q5 (30.0 pts)
429099317,23.0,150.0,Graded,2022-10-06 20:18:00 -0500,00:00:00,1.0,1.0,4.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0
759999244,23.0,150.0,Graded,2022-10-06 20:18:00 -0500,00:00:00,1.0,1.0,4.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0
963037118,23.0,150.0,Graded,2022-10-06 20:18:00 -0500,00:00:00,1.0,1.0,4.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0
649911435,23.0,150.0,Graded,2022-10-06 20:18:00 -0500,00:00:00,1.0,1.0,4.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0
981776346,23.0,150.0,Graded,2022-10-06 20:18:00 -0500,00:00:00,1.0,1.0,4.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0
490690273,23.0,150.0,Graded,2022-10-06 20:18:00 -0500,00:00:00,1.0,1.0,4.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0
208303123,23.0,150.0,Graded,2022-10-06 20:18:00 -0500,00:00:00,1.0,1.0,4.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0
425298232,128.0,150.0,Graded,2022-10-06 20:11:39 -0500,00:00:00,8.0,1.0,12.0,15.0,15.0,10.0,10.0,10.0,29.0,27.0
196389138,108.5,150.0,Graded,2022-10-06 21:16:08 -0500,00:54:08,8.0,1.0,10.0,15.0,12.0,5.0,6.0,2.0,31.5,27.0
997288135,100.5,150.0,Graded,2022-10-06 21:20:10 -0500,00:58:10,4.0,1.0,6.0,15.0,11.0,10.0,10.0,6.0,18.5,24.0
411819068,116.5,150.0,Graded,2022-10-06 20:20:14 -0500,00:00:00,2.0,1.0,12.0,15.0,15.0,10.0,10.0,10.0,20.5,24.0
937801142,104.0,150.0,Graded,2022-10-06 20:17:56 -0500,00:00:00,2.0,1.0,12.0,15.0,17.0,10.0,10.0,0.0,28.0,12.0
207156324,134.0,150.0,Graded,2022-10-06 20:21:22 -0500,00:00:00,4.0,1.0,18.0,15.0,20.0,10.0,10.0,8.0,28.0,25.0
183274315,74.0,150.0,Graded,2022-10-06 20:19:05 -0500,00:00:00,1.0,1.0,4.0,12.0,10.0,10.0,10.0,4.0,0.0,24.0
253357219,126.0,150.0,Graded,2022-10-06 20:25:06 -0500,00:03:06,2.0,1.0,14.0,14.0,20.0,10.0,10.0,10.0,22.0,26.0
454761787,81.0,150.0,Graded,2022-10-06 20:21:27 -0500,00:00:00,4.0,1.0,12.0,15.0,10.0,5.0,10.0,2.0,0.0,27.0
612832753,145.0,150.0,Graded,2022-10-06 20:26:33 -0500,00:04:33,2.0,3.0,18.0,15.0,20.0,10.0,10.0,10.0,35.0,27.0
618644141,107.0,150.0,Graded,2022-10-06 20:21:40 -0500,00:00:00,3.0,1.0,10.0,15.0,15.0,10.0,4.0,10.0,22.0,21.0
869335817,118.0,150.0,Graded,2022-10-06 20:18:47 -0500,00:00:00,3.0,1.0,18.0,15.0,20.0,10.0,10.0,0.0,15.0,30.0
538465676,124.0,150.0,Graded,2022-10-06 21:22:32 -0500,01:00:32,6.0,1.0,16.0,15.0,20.0,10.0,10.0,10.0,22.0,21.0
